Popularity,danceability,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
38.73417581505424,0.1619927629265758,0.2521754160725006,-11.20737415906488,1,0.0414616656329947,0.9801410676264144,0.1409818520110822,0.2247341758150542,172.631417360284,3.3959315003939055,3,7
34.0,0.771,0.42,-6.696,0,0.0291,0.615,0.0989,0.441,96.018,218707.0,3,10
77.0,0.68,0.895,-7.144,1,0.0378,0.0156,0.145,0.824,93.037,189375.0,4,9
38.0,0.507,0.44,-8.975,1,0.043,0.356,0.103,0.416,169.474,3.9906,4,0
36.0,0.361,0.577,-4.456,0,0.0286,0.246,0.0627,0.134,151.768,213947.0,4,9
51.0,0.323,0.947,-4.234,0,0.0912,0.000102,0.272,0.311,166.98,245053.0,4,8
30.0,0.403,0.931,-4.924,0,0.0509,6.05e-05,0.641,0.167,147.999,305446.0,4,8
20.0,0.221,0.533,-7.042,0,0.0346,0.206,0.143,0.12,171.563,237893.0,3,10
19.0,0.507,0.516,-6.133,0,0.0391,0.452,0.135,0.27,109.821,187147.0,4,6
56.0,0.472,0.626,-8.499,1,0.0849,0.312,0.121,0.296,75.007,214293.0,4,10
41.0,0.526,0.989,-4.121,0,0.119,8.35e-05,0.139,0.12,149.998,257600.0,4,8
66.08931380174428,0.4948818814273502,0.3993030377668585,-7.126873524326285,0,0.0261095605392464,0.6250701927232514,0.1516778411546485,0.3587543254686202,89.80386084608516,4.080464669550645,4,3
47.0,0.39,0.758,-6.329,1,0.0312,0.00114,0.0978,0.0993,84.003,348053.0,4,8
48.0,0.686,0.902,-3.154,0,0.0304,0.00575,0.125,0.648,129.971,198020.0,4,6
41.0,0.789,0.867,-6.104,1,0.0551,0.00961,0.474,0.864,125.868,211347.0,4,9
46.0,0.619,0.248,-15.649,0,0.0274,0.844,0.137,0.289,104.872,3.179116667,4,0
42.725250028248915,0.7612175364850776,0.4617602138256605,-9.91977881943904,1,0.253812132989114,0.1958751063478519,0.137667570992731,0.3420449649273682,145.15335817987017,137631.6185767555,4,1
34.0,0.651,0.527,-12.564,1,0.0283,0.559,0.107,0.698,90.619,3.178883333,4,4
48.477450251694286,0.4524509949661142,0.1328833457211971,-22.20400781107455,1,0.0386432350755082,0.8677450251694289,0.1998973715327562,0.2224696391771456,64.66839397783491,6.731771399566417,4,7
27.0,0.318,0.359,-8.549,0,0.0305,0.681,0.0951,0.0397,127.747,227333.0,3,9
41.82683289859053,0.723851767687169,0.4601716226775577,-10.369449330210047,0,0.0332385336811275,0.6644259398453218,0.4657473280592149,0.8527769073196962,116.65774590683918,3.4010516431204407,4,4
53.0,0.29,0.728,-9.929,1,0.115,0.000495,0.128,0.0487,162.744,510587.0,4,8
39.0,0.628,0.605,-9.014,1,0.0344,0.421,0.103,0.439,119.904,230029.0,4,9
45.65061300095067,0.6518537588507453,0.5822303031245374,-13.039789962775949,1,0.0364626092962924,0.2892758268849693,0.196903678005704,0.7766383529819374,95.39009456383648,2.9618221485705196,4,4
44.0,0.401,0.591,-4.65,1,0.0299,0.00252,0.313,0.691,82.133,164645.0,4,2
2.0,0.671,0.454,-6.306,1,0.257,0.916,0.167,0.817,173.672,3.402883333,4,3
54.0,0.567,0.494,-12.093,1,0.0544,0.569,0.33,0.42,149.839,200853.0,4,9
50.0,0.536,0.985,-4.982,0,0.0395,0.0489,0.369,0.826,99.082,230867.0,4,6
33.0,0.571,0.926,-3.246,0,0.15,0.00178,0.35,0.582,131.023,192035.0,4,6
41.0,0.488,0.621,-12.605,0,0.0296,0.0728,0.0847,0.557,98.091,149388.0,4,8
12.0,0.48,0.467,-10.235,1,0.0545,0.969,0.0843,0.735,131.746,4.707783333,4,3
52.695177216824135,0.794944509385401,0.2358425917153612,-15.68067414006254,0,0.0529372167637763,0.7322292849188051,0.1454413132686681,0.5545923889974096,114.62498802640488,3.648762635323639,4,0
41.0,0.601,0.861,-5.513,1,0.0463,0.0153,0.0723,0.668,119.724,208027.0,4,2
55.0,0.778,0.713,-5.852,1,0.289,0.0452,0.0405,0.321,140.024,154253.0,4,5
42.0,0.619,0.697,-6.167,1,0.0813,0.618,0.241,0.961,131.123,177367.0,4,2
56.0,0.707,0.401,-14.222,1,0.0533,0.275,0.201,0.602,136.188,2.988883333,4,4
54.0,0.547,0.637,-5.433,1,0.025,0.00828,0.0702,0.469,149.979,303613.0,3,10
45.0,0.468,0.41,-11.782,1,0.028,0.587,0.0699,0.519,183.898,3.513333333,4,4
39.36833066898812,0.6271634985227362,0.6517619273680192,-7.270068079578582,0,0.024062823475256,0.4625998380652195,0.0932773455084257,0.6731686503904131,101.19109175420397,219167.40733501283,4,1
48.0,0.482,0.101,-18.914,0,0.0333,0.965,0.125,0.189,105.719,2.704666667,4,7
45.07726949326578,0.5316329699069876,0.3917488741468862,-9.216359978853346,1,0.0320560203826176,0.4606175040843784,0.1047630362459996,0.4493380540330378,169.99886720697444,3.464097049742587,3,0
18.0,0.486,0.699,-8.211,1,0.0693,0.436,0.161,0.394,137.927,4.579033333,4,0
20.0,0.673,0.577,-10.076,0,0.0359,0.0806,0.0811,0.856,94.936,182405.0,4,9
17.171740494942146,0.2547599197416856,0.1471924206412561,-16.95639902041012,1,0.0333221709111272,0.869326264342479,0.1128063194938578,0.12575388383038,76.87311421720742,4.219945437699376,4,7
42.0,0.439,0.0193,-20.404,1,0.0326,0.925,0.111,0.192,60.053,292000.0,4,6
79.0,0.315,0.715,-8.072,0,0.0362,0.00125,0.0942,0.497,155.925,289533.0,3,10
51.0,0.854,0.817,-3.621,0,0.299,0.0302,0.14,0.552,131.08,134757.0,4,5
44.81486707116138,0.6648233325993049,0.1442103077752052,-17.09217428903411,1,0.0586157136239757,0.9422215951460634,0.0958584806396954,0.0940581097601983,121.74312283065106,2.7127580033894247,3,7
25.705797694358843,0.5940565377476887,0.5948131164061379,-7.748868169308944,1,0.0442043842506666,0.3783948400820703,0.3523775697312747,0.0814370888795925,123.97459879679222,188805.9336454031,4,1
69.0,0.764,0.785,-3.528,1,0.033,0.0303,0.315,0.974,113.019,161351.0,4,9
26.71514195546077,0.5220469680970804,0.6735766911860266,-9.261881808820354,0,0.0361622677874384,0.0027350287067998,0.1106976515951459,0.7602673676842244,142.76536424929392,280513.83659306896,3,1
58.65003684399003,0.5929493736521695,0.6123129144948879,-8.04261066836426,1,0.0349562361835037,0.1421390382365838,0.2696704975291417,0.5886591932518946,147.925812546055,4.799917356802256,4,4
41.0,0.555,0.178,-11.771,0,0.0386,0.805,0.131,0.161,115.737,261493.0,4,2
47.0,0.646,0.905,-9.456,0,0.0414,5.12e-05,0.279,0.579,129.084,242027.0,4,8
42.0,0.24,0.864,-5.59,1,0.0421,0.000119,0.157,0.528,176.78,188166.0,3,1
30.213829126181025,0.635229284918805,0.6598371297088389,-5.098539569708503,0,0.0363250202717951,0.1147013595338737,0.2810032891394272,0.6789244621356292,112.6908875268316,143920.47768686045,4,1
48.0,0.706,0.656,-4.177,0,0.29,0.034,0.163,0.82,165.639,140564.0,4,6
2.440083499781788,0.5547598121254911,0.4616813151215631,-9.850970145223489,1,0.0391546815669688,0.2802218683076175,0.1493427450553262,0.1025257355714877,103.87303507351288,4.763641028605927,1,0
41.95622219064895,0.5735897803667862,0.5518917755360754,-9.201372039214007,1,0.0274576001136637,0.1468726853264715,0.3025991101007663,0.8893988805219712,117.81927256941148,3.1661614136403657,4,4
37.0,0.436,0.852,-7.491,0,0.0556,0.000105,0.105,0.301,140.028,303347.0,4,8
32.0,0.793,0.519,-11.452,1,0.0432,0.122,0.335,0.307,126.204,398110.0,4,2
51.235988133861845,0.5439419823860331,0.0532473946417137,-20.66358409381766,0,0.0350925270047263,0.906957720960513,0.1321799406693092,0.1699369686844021,100.13502853323526,2.806301164565649,4,7
44.25975378376032,0.3720390151350413,0.1280390151350413,-16.460113621537175,1,0.0324078030270082,0.9400780302700824,0.1169219697299173,0.0828653885149796,66.9735064552253,2.980508918215017,3,7
